DatGeracaoConjuntoDados;IdeMdl;IdeTipMdl;DscSitLinTms;IdeLinTms;IdeSbeOri;IdeSbeDsn;NomLinTms;NumCcuLinTms;QtdTorLinTms;NumEtnLinTms;IdeOnsSbeOrigem;NomSubestacaoOrigem;NomLongoSubestacaoOrigem;SigUFSubestacaoOrigem;IdeOnsSbeDestino;NomSubestacaoDestino;NomLongoSubestacaoDestino;SigUFSubestacaoDestino;IdeObr;NumCpdCnteCutLinhaTransm;NumCpdCnteLgaLinhaTransm;IdcTipoCircuitoLinhaTransm;IdcTipoEstruturaLinhaTransm;NumCaboCondutorLinhaTransm;NumCaboParaRaioLinhaTransm;IdeCaboCondutor;IdeCaboParaRaio;NumTensaoBaseLinhaTransm
2026-04-27;40937;4;Ativa;4420;1329;4471;LT 345 kV CAMPOS /PORTO DO ACU RJ;2;;15,0000000000;RJSTCM;CAMPOS;SUB CAMPOS     RJ;RJ;RJPDA;PORTO DO ACU;SUB PORTO DO ACU RJ;RJ;27098;;;1;;;;;;345,00
2026-04-27;40960;4;Ativa;4422;926;4472;LT 230 kV BOM NOME /ABAIARA PE/CE;1;256;82,4000000000;PEBNO;BOM NOME;SUB BOM NOME    PE;PE;CEABA;ABAIARA;SUB ABAIARA CE;CE;27127;;583;0;4;2;2;15;3;230,00
2026-04-27;40961;4;Ativa;4423;4472;153;LT 230 kV ABAIARA /MILAGRES CE;1;256;15,1000000000;CEABA;ABAIARA;SUB ABAIARA CE;CE;CEMLG;MILAGRES;SUB MILAGRES    CE;CE;27128;;583;0;4;2;2;14;2;230,00
2026-04-27;41098;4;Ativa;2239;45;83;LT 230 kV CIC. DANTAS /OLINDINA BA;2;1;81,3300000000;BACCD;CIC. DANTAS;SUB CICERO DANTAS    BA;BA;BAOLD;OLINDINA;SUB OLINDINA    BA;BA;27222;621;437;0;0;1;2;13;59;230,00
2026-04-27;41099;4;Ativa;4350;83;3338;LT 230 kV OLINDINA /ALAGOINHAS II BA;2;2;62,5800000000;BAOLD;OLINDINA;SUB OLINDINA    BA;BA;BAALG;ALAGOINHAS II;SUB ALAGOINHAS II;BA;27223;621;437;0;0;1;2;13;59;230,00
2026-04-27;41103;4;Ativa;4426;3315;3314;LT 230 kV GUARAPUAVA OESTE /IRATI NORTE PR;1;7;163,0000000000;;GUARAPUAVA OESTE;SUB GUARAPUAVA OESTE PR;PR;PRIRN;IRATI NORTE;SUB IRATI NORTE PR;PR;27226;819;650;0;0;1;2;13;74;230,00
2026-04-27;41104;4;Ativa;2101;3314;3312;LT 230 kV IRATI NORTE /PONTA GROSSA PR;1;7;51,6900000000;PRIRN;IRATI NORTE;SUB IRATI NORTE PR;PR;PRGR;PONTA GROSSA;SUB PONTA GROSSA PR;PR;27227;819;650;0;0;1;2;13;74;230,00
2026-04-27;41107;4;Ativa;4427;319;4470;LT 500 kV ACAILANDIA /SANTA LUZIA III MA;1;6;2,0000000000;MAAC;ACAILANDIA;SUB ACAILANDIA    MA;MA;MASLT;SANTA LUZIA III;SUB SANTA LUZIA III MA;MA;27230;5405;4545;0;0;4;2;62;59;500,00
2026-04-27;41108;4;Ativa;4428;4470;329;LT 500 kV SANTA LUZIA III /MIRANDA II MA;1;5;1,0000000000;MASLT;SANTA LUZIA III;SUB SANTA LUZIA III MA;MA;MAMR;MIRANDA II;SUB MIRANDA II    MA;MA;27231;5405;4545;0;0;4;2;62;59;500,00
2026-04-27;41115;4;Ativa;4429;3090;4474;LT 230 kV C.GRANDE III /RIACHAO II PB/RN;1;3;98,1000000000;PBCGT;C.GRANDE III;SUB CAMPINA GRANDE III  PB;PB;RNRID;RIACHAO II;SUB RIACHAO II RN;RN;27240;1809;1436;1;0;2;2;52;55;230,00
2026-04-27;41116;4;Ativa;4430;4474;2936;LT 230 kV RIACHAO II /EXTREMOZ II RN;1;3;95,3000000000;RNRID;RIACHAO II;SUB RIACHAO II RN;RN;RNETD;EXTREMOZ II;SUB EXTREMOZ II RN;RN;27241;1809;1436;1;0;2;2;52;55;230,00
2026-04-27;41187;4;Ativa;4431;27;46;LT 500 kV USINA XINGO /CAMACARI II AL/BA;1;;357,0000000000;ALUXG;USINA XINGO;USI USINA XINGO AL;AL;BACMD;CAMACARI II;SUB CAMACARI II   BA;BA;27319;;;1;;;;;;500,00
2026-04-27;41190;4;Ativa;4431;27;46;LT 500 kV USINA XINGO /CAMACARI II AL/BA;2;;357,0000000000;ALUXG;USINA XINGO;USI USINA XINGO AL;AL;BACMD;CAMACARI II;SUB CAMACARI II   BA;BA;27322;;;1;;;;;;500,00
