DatGeracaoConjuntoDados;IdeOnsSbe;SglTipAnj;DscTipAnj;IdeMdl;IdeTipMdl;IdeTipAnj;IdeSbe;IdcPrtMdlGrl;NomSubestacao;NomLongoSubestacao;SigUFSubestacao;NumOprMdl;NomMdl;IdcSitMdl;NumTnsMdl
2026-04-27;SCCNO;;;37161;1;;1672;;C.NOVOS;SUB CAMPOS NOVOS     SC;SC;MG2;MG 500 kV C.NOVOS MG2 SC;3;500,00
2026-04-27;RSUTUR;DJM;Disjuntor e Meio;37165;1;2;1642;0;UTE URUGUAIANA;UTE URUGUAIANA     RS;RS;MG2;MG 230 kV UTE URUGUAIANA MG2 RS;3;230,00
2026-04-27;SEJDM;DJM;Disjuntor e Meio;37191;1;2;1797;;JARDIM;SUB JARDIM SE;SE;MG2;MG 500 kV JARDIM MG2 SE;3;500,00
2026-04-27;MAPD;DJM;Disjuntor e Meio;38034;1;2;330;1;P.DUTRA;SUB PRESIDENTE DUTRA    MA;MA;MG2;MG 500 kV P.DUTRA MG2 MA;3;500,00
2026-04-27;MGSTBB;DJM;Disjuntor e Meio;38198;1;2;3270;;BARRO BRANCO;SE BARRO BRANCO;MG;MG1;MG 345 kV BARRO BRANCO MG1 MG;3;345,00
2026-04-27;;BD4;Barra Dupla a Quatro Chaves;38706;1;4;3377;0;TABOCAS BREJO VELHO;SUB TABOCAS DO BREJO VELHO BA;BA;MG1;MG 230 kV TABOCAS BREJO VELHO MG1 BA;3;230,00
2026-04-27;PEFLD;BD4;Barra Dupla a Quatro Chaves;38714;1;4;3378;0;FLORESTA II;SUB FLORESTA II PE;PE;MG1;MG 230 kV FLORESTA II MG1 PE;2;230,00
2026-04-27;BACFO;BD4;Barra Dupla a Quatro Chaves;38719;1;4;3379;0;CAMPO FORMOSO;SUB CAMPO FORMOSO BA;BA;MG1;MG 230 kV CAMPO FORMOSO MG1 BA;3;230,00
2026-04-27;PRBXI;BD4;Barra Dupla a Quatro Chaves;38878;1;4;3260;1;BAIXO IGUACU;SE BAIXO IGUACU;PR;MG1;MG 230 kV BAIXO IGUACU MG1 PR;3;230,00
2026-04-27;PRCVO ;BD4;Barra Dupla a Quatro Chaves;38883;1;4;1047;0;CASCAVEL OEST;SUB CASCAVEL OESTE   PR;PR;MG4;MG 230 kV CASCAVEL OEST MG4 PR;3;230,00
2026-04-27;SPUFBH;BD4;Barra Dupla a Quatro Chaves;38884;1;4;3383;0;BOA HORA;SUB BOA HORA SP;SP;MG1;MG 138 kV BOA HORA MG1 SP;3;138,00
2026-04-27;SPVAP1;BD4;Barra Dupla a Quatro Chaves;38895;1;4;3384;0;VALE DO PARANA;SUB VALE DO PARANA SP;SP;MG1;MG 138 kV VALE DO PARANA MG1 SP;3;138,00
2026-04-27;SPINTR;BD4;Barra Dupla a Quatro Chaves;38902;1;4;3385;1;INTERLAGOS 1;INTERLAGOS 1;SP;MG1;MG 138 kV INTERLAGOS 1 MG1 SP;3;138,00
