DatGeracaoConjuntoDados;DscTipEqp;NumFasMdlEqp;IdeOnsSbe;IdeMdl;IdeTipMdl;IdeSbe;MdaCpeRaiNegMdlEqp;MdaCpeRaivPosMdlEqp;DscIdcExsMdlCnr;DscFinMdlEqp;MdaPotAtvMdlEqp;MdaTnsScdMdlEqp;MdaTnsTiaMdlEqp;NomSubestacao;NomLongoSubestacao;SigUFSubestacao;NumOprMdl;NomMdl;IdcSitMdl;NumTnsMdl
2026-04-27;Transformador de Potência;Monofásico;SPSGEL;39120;3;3389;;;;Principal;400.00;88.00;13.80;SAO MIGUEL;SUB SAO MIGUEL SP;SP;TR2;TR 345/88 kV SAO MIGUEL TR2 SP;0;345,00
2026-04-27;Transformador de Potência;Monofásico;SPSGEL;39123;3;3389;;;;Principal;400.00;88.00;13.80;SAO MIGUEL;SUB SAO MIGUEL SP;SP;TR3;TR 345/88 kV SAO MIGUEL TR3 SP;0;345,00
2026-04-27;Transformador de Potência;Monofásico;SPSGEL;39126;3;3389;;;;Reserva;133.33;88.00;13.80;SAO MIGUEL;SUB SAO MIGUEL SP;SP;TRR1;TR 345/88 kV SAO MIGUEL TRR1 SP;0;345,00
2026-04-27;Transformador de Aterramento;Trifásico;SPSGEL;39128;3;3389;;;;Principal;10.00;;;SAO MIGUEL;SUB SAO MIGUEL SP;SP;TT1;TT 88/0 kV SAO MIGUEL TT1 SP;0;88,00
2026-04-27;Transformador de Aterramento;Trifásico;SPSGEL;39130;3;3389;;;;Principal;10.00;;;SAO MIGUEL;SUB SAO MIGUEL SP;SP;TT2;TT 88/0 kV SAO MIGUEL TT2 SP;0;88,00
2026-04-27;Transformador de Potência;Trifásico;RSCHR3;39142;3;4406;;;N;Principal;150.00;69.00;13.80;CHARQUEADAS 3;SUB CHARQUEADAS 3 RS;RS;TR1;TR 230/69 kV CHARQUEADAS 3 TR1 RS;3;230,00
2026-04-27;Transformador de Potência;Trifásico;RSCHR3;39145;3;4406;;;N;Principal;150.00;69.00;13.80;CHARQUEADAS 3;SUB CHARQUEADAS 3 RS;RS;TR2;TR 230/69 kV CHARQUEADAS 3 TR2 RS;3;230,00
2026-04-27;Compensador Estático;Trifásico;RSGUA3;39176;3;3231;180.00;300.00;S;Principal;;;;GUAIBA 3;SE GUAIBA 3 RS;RS;CE1;CE 300/-180 Mvar GUAIBA 3 CE1 RS;3;525,00
2026-04-27;Transformador de Potência;Trifásico;CEDM2;39188;3;4407;;;;Principal;200.00;69.00;13.80;DIAS MACEDO II;SUB DIAS MACEDO II CE;CE;TR1;TR 230/69 kV DIAS MACEDO II TR1 CE;0;230,00
2026-04-27;Transformador de Potência;Trifásico;CEDM2;39191;3;4407;;;;Principal;200.00;69.00;13.80;DIAS MACEDO II;SUB DIAS MACEDO II CE;CE;TR2;TR 230/69 kV DIAS MACEDO II TR2 CE;0;230,00
2026-04-27;Transformador de Potência;Trifásico;CEDM2;39194;3;4407;;;;Principal;200.00;69.00;13.80;DIAS MACEDO II;SUB DIAS MACEDO II CE;CE;TR3;TR 230/69 kV DIAS MACEDO II TR3 CE;0;230,00
